average_daily_usage,avg_usage,batch_number,below_reorder,created_by_id,date,day,days_to_expiration,expiration_date,id,is_active,is_weekend,last_order_date,last_stock_count_date,last_updated_at,minimum_stock_level,month,near_expiration_15d,notes,optimal_stock_level,product_id,product_name,product_sku,quantity_available,quantity_on_hand,quantity_reserved,reorder_point,reorder_quantity,sale_amount,sale_amount_lag1,sale_amount_ma7,shelf_location,stock,stock_status,stock_to_reorder,supplier_id,supplier_name,total_value,unit_cost,warehouse_location,weekday,year
,6.5,,,,2024-06-15,,,,,,,,,,,,,,,ACE001,Aceite vegetal 900ml,,272,,,52,120,3.0,0.0,3.0,,272,,5.230769230769231,,,,,,,
,6.5,,,,2024-06-16,,,,,,,,,,,,,,,ACE001,Aceite vegetal 900ml,,267,,,52,120,9.0,3.0,6.0,,267,,5.134615384615385,,,,,,,
,6.5,,,,2024-06-17,,,,,,,,,,,,,,,ACE001,Aceite vegetal 900ml,,257,,,52,120,8.0,9.0,6.666666666666667,,257,,4.9423076923076925,,,,,,,
,6.5,,,,2024-06-18,,,,,,,,,,,,,,,ACE001,Aceite vegetal 900ml,,255,,,52,120,3.0,8.0,5.75,,255,,4.903846153846154,,,,,,,
,6.5,,,,2024-06-19,,,,,,,,,,,,,,,ACE001,Aceite vegetal 900ml,,246,,,52,120,12.0,3.0,7.0,,246,,4.730769230769231,,,,,,,
,6.5,,,,2024-06-20,,,,,,,,,,,,,,,ACE001,Aceite vegetal 900ml,,237,,,52,120,4.0,12.0,6.5,,237,,4.557692307692308,,,,,,,
,6.5,,,,2024-06-21,,,,,,,,,,,,,,,ACE001,Aceite vegetal 900ml,,231,,,52,120,2.0,4.0,5.857142857142857,,231,,4.4423076923076925,,,,,,,
,6.5,,,,2024-06-22,,,,,,,,,,,,,,,ACE001,Aceite vegetal 900ml,,227,,,52,120,4.0,2.0,6.0,,227,,4.365384615384615,,,,,,,
,6.5,,,,2024-06-23,,,,,,,,,,,,,,,ACE001,Aceite vegetal 900ml,,223,,,52,120,10.0,4.0,6.142857142857143,,223,,4.288461538461538,,,,,,,
,6.5,,,,2024-06-24,,,,,,,,,,,,,,,ACE001,Aceite vegetal 900ml,,213,,,52,120,5.0,10.0,5.714285714285714,,213,,4.096153846153846,,,,,,,
,6.5,,,,2024-06-25,,,,,,,,,,,,,,,ACE001,Aceite vegetal 900ml,,206,,,52,120,6.0,5.0,6.142857142857143,,206,,3.9615384615384617,,,,,,,
,6.5,,,,2024-06-26,,,,,,,,,,,,,,,ACE001,Aceite vegetal 900ml,,201,,,52,120,3.0,6.0,4.857142857142857,,201,,3.865384615384616,,,,,,,
